file_name,face_visibility_r1,face_visibility_r2,face_visibility_r3,smile_positive_expression_r1,smile_positive_expression_r2,smile_positive_expression_r3,face_centering_r1,face_centering_r2,face_centering_r3,face_size_r1,face_size_r2,face_size_r3,head_movement_r1,head_movement_r2,head_movement_r3,audio_speaking_rhythm_r1,audio_speaking_rhythm_r2,audio_speaking_rhythm_r3
--Ymqszjv54.003_0604.jpg,0.49,0.41,0.30,1.00,0.94,0.88,0.79,0.94,0.79,0.54,0.38,0.61,0.75,0.70,0.65,0.39,0.34,0.18
-AmMDnVl4s8.003_0621.jpg,0.17,0.36,0.39,0.98,1.00,0.98,0.34,0.31,0.23,0.35,0.43,0.36,0.68,0.85,0.90,0.49,0.52,0.28
-c2HtptBFxY.002_0246.jpg,0.64,0.71,0.65,0.61,0.73,0.64,0.67,0.57,0.77,0.82,0.87,1.00,0.82,0.83,0.77,0.87,0.90,0.92
-c_tyGzShwk.004_0670.jpg,0.37,0.17,0.16,0.46,0.54,0.65,0.86,0.73,0.71,0.46,0.25,0.24,0.61,0.62,0.78,0.71,0.77,0.80
-Gl98Jn45Fs.000_0274.jpg,0.66,0.51,0.46,0.68,0.65,0.52,0.98,0.73,0.72,0.69,0.71,0.82,0.56,0.49,0.60,0.51,0.47,0.44
-IK--4uz5ZY.003_0482.jpg,0.75,0.68,0.91,0.52,0.58,0.46,0.56,0.74,0.72,0.47,0.41,0.32,0.41,0.53,0.35,0.90,0.96,0.79
-VTqcHNgH7M.003_0457.jpg,0.92,0.78,0.79,0.47,0.30,0.24,0.59,0.68,0.85,0.58,0.75,0.71,0.49,0.66,0.53,0.89,0.93,0.92
-zNyDPzId4E.001_0200.jpg,0.80,0.83,0.76,0.94,0.86,0.83,0.51,0.43,0.42,0.39,0.34,0.24,0.49,0.50,0.53,0.47,0.59,0.40
-zNyDPzId4E.003_0372.jpg,0.71,0.81,0.75,0.50,0.34,0.48,0.51,0.57,0.50,0.62,0.89,0.66,0.67,0.41,0.56,0.87,0.80,0.70
05l5bteT_qA.000_0529.jpg,0.33,0.42,0.43,0.92,0.83,0.78,0.57,0.51,0.41,0.71,0.76,0.63,0.55,0.54,0.47,0.87,0.93,0.90
0_xOGmydDN0.003_0214.jpg,0.53,0.73,0.62,0.47,0.65,0.56,0.66,0.70,0.83,0.51,0.52,0.53,1.00,0.91,0.77,0.78,0.64,0.79
0FVu7VKIg2s.000_0098.jpg,0.84,0.97,0.88,0.64,0.63,0.65,0.31,0.47,0.33,0.53,0.58,0.56,0.36,0.49,0.34,0.74,0.59,0.78
0G9vplL8ae8.003_0066.jpg,0.74,0.76,0.68,0.34,0.43,0.34,0.60,0.57,0.60,0.82,0.79,0.72,0.51,0.48,0.44,0.32,0.31,0.51
0gv5Z0qt2jc.000_0585.jpg,0.73,0.64,0.69,0.82,0.86,0.67,0.85,0.76,0.72,0.62,0.57,0.69,0.65,0.58,0.71,0.83,0.84,0.74
0gv5Z0qt2jc.001_0504.jpg,0.48,0.40,0.39,0.41,0.44,0.27,0.62,0.60,0.63,0.88,0.93,0.75,0.33,0.50,0.42,0.34,0.40,0.34
0gv5Z0qt2jc.005_0530.jpg,0.77,0.69,0.73,0.50,0.65,0.43,0.67,0.72,0.78,0.61,0.64,0.63,0.87,0.73,0.85,0.47,0.42,0.28
0tse0Fsy_rg.002_0351.jpg,0.46,0.62,0.45,0.60,0.44,0.51,0.62,0.69,0.72,0.74,0.70,0.78,0.65,0.58,0.77,0.33,0.24,0.27
0Wr69VD_oXI.004_0500.jpg,0.62,0.38,0.41,0.58,0.63,0.79,0.88,0.72,0.81,0.58,0.54,0.73,0.31,0.38,0.22,0.85,1.00,1.00
0zJcYnsh55g.003_0382.jpg,0.61,0.68,0.62,0.39,0.46,0.34,0.58,0.43,0.54,0.52,0.64,0.67,0.75,0.79,0.58,0.29,0.34,0.22
117jrwvl2Nc.000_0443.jpg,0.40,0.34,0.40,0.66,0.71,0.74,1.00,1.00,0.80,0.66,0.58,0.77,0.37,0.31,0.43,0.73,0.60,0.62
13kjwEtSyXc.000_0623.jpg,0.46,0.41,0.32,0.67,0.77,0.88,0.62,0.51,0.52,0.60,0.71,0.65,0.58,0.47,0.31,0.50,0.57,0.36
13kjwEtSyXc.002_0146.jpg,0.87,0.97,0.88,0.42,0.39,0.24,0.82,0.60,0.75,0.31,0.30,0.38,1.00,0.95,0.78,0.46,0.35,0.38
13XlKeC_p3U.001_0357.jpg,0.64,0.50,0.55,0.87,0.77,0.95,0.68,0.85,0.65,0.35,0.53,0.27,0.54,0.32,0.37,0.44,0.30,0.44
176vWywoq9E.000_0698.jpg,0.32,0.26,0.25,0.78,0.63,0.80,0.52,0.54,0.31,0.71,0.47,0.63,0.67,0.59,0.53,0.78,0.80,0.94
184MlJCcboQ.000_0637.jpg,0.49,0.68,0.55,0.65,0.79,0.78,0.90,0.96,0.71,0.67,0.45,0.71,0.46,0.53,0.59,0.47,0.59,0.51
1cqwKxx6GF8.004_0217.jpg,0.41,0.51,0.62,0.64,0.80,0.61,0.69,0.61,0.77,0.32,0.54,0.58,0.49,0.24,0.26,0.24,0.34,0.31
1eOvtoZCie8.004_0024.jpg,0.69,0.44,0.65,0.78,0.61,0.84,0.40,0.31,0.39,0.76,0.81,0.79,0.49,0.52,0.45,0.19,0.48,0.28
1Gn4GX8miWQ.005_0632.jpg,0.29,0.29,0.26,0.67,0.67,0.64,0.68,0.52,0.61,0.63,0.73,0.51,0.63,0.70,0.76,0.79,0.98,0.91
1hpZ2ecWqtI.003_0434.jpg,0.91,0.81,0.63,0.47,0.52,0.68,0.47,0.42,0.42,0.55,0.62,0.81,0.92,0.70,0.85,0.73,0.82,0.84
1izSTcQI7H4.004_0263.jpg,0.41,0.30,0.42,0.34,0.48,0.27,0.25,0.46,0.52,0.60,0.60,0.59,0.49,0.38,0.44,0.70,0.53,0.60
1jC4vsQsjwM.002_0471.jpg,0.79,0.73,0.73,0.60,0.70,0.67,0.45,0.49,0.35,0.65,0.67,0.48,0.42,0.44,0.66,0.49,0.40,0.44
1mHjMNZZvFo.000_0180.jpg,0.81,0.73,0.59,0.53,0.49,0.56,0.61,0.70,0.78,0.52,0.49,0.54,0.51,0.60,0.32,0.32,0.38,0.39
1mHjMNZZvFo.004_0688.jpg,0.33,0.29,0.26,0.58,0.44,0.44,0.57,0.51,0.38,0.71,0.73,0.67,0.81,1.00,0.99,0.83,1.00,1.00
1S0SxmfbOus.002_0558.jpg,0.72,0.92,0.78,1.00,1.00,0.86,0.74,0.82,0.60,0.37,0.35,0.22,0.97,0.92,1.00,0.87,0.99,0.88
1UaqZEUUk9I.002_0156.jpg,0.46,0.47,0.47,0.96,0.89,0.91,0.69,0.56,0.60,0.98,0.91,0.70,1.00,0.83,0.84,0.66,0.63,0.62
2AV8m02PjdU.000_0586.jpg,0.62,0.63,0.65,0.91,1.00,1.00,0.49,0.41,0.45,0.85,1.00,0.98,0.96,0.85,0.95,0.46,0.51,0.38
2bAsXLQjlt8.005_0107.jpg,0.52,0.54,0.63,0.75,0.68,0.66,0.64,0.73,0.62,0.57,0.65,0.55,0.35,0.32,0.32,0.74,0.47,0.71
2ceHmUmguzk.001_0118.jpg,0.58,0.73,0.76,0.47,0.44,0.23,0.81,0.87,0.97,0.43,0.48,0.43,0.86,0.73,0.62,0.41,0.55,0.55
2HE6cw3HFPk.001_0581.jpg,0.27,0.21,0.18,0.68,0.67,0.57,0.49,0.50,0.68,0.82,0.85,0.93,0.83,0.64,0.73,0.64,0.74,0.63
2kqPuht5jTg.002_0052.jpg,0.79,0.60,0.64,0.68,0.61,0.81,0.62,0.58,0.49,0.74,0.81,0.73,0.72,0.85,0.87,0.95,0.73,0.97
2mfmw63l88g.001_0139.jpg,0.56,0.58,0.54,0.87,0.85,0.77,0.97,1.00,0.85,0.75,0.68,0.89,0.32,0.44,0.37,0.74,0.61,0.73
2mgj9ncREyA.005_0296.jpg,0.15,0.24,0.43,0.42,0.62,0.43,0.99,0.82,0.81,0.68,0.60,0.67,0.26,0.48,0.49,0.44,0.55,0.43
2oiXF5_gTyk.001_0128.jpg,0.64,0.74,0.70,0.82,0.69,0.79,0.52,0.35,0.37,0.61,0.64,0.81,0.79,0.57,0.58,0.89,0.84,0.88
2P1FbMJLUAs.000_0514.jpg,0.25,0.28,0.33,0.82,1.00,1.00,0.98,0.86,0.79,0.87,1.00,1.00,0.73,0.97,0.99,0.92,0.82,0.82
2TbU3Eg2i4A.003_0467.jpg,0.68,0.92,0.91,0.71,0.90,0.82,0.23,0.20,0.34,0.79,0.80,0.91,0.94,0.86,0.88,0.71,0.71,0.80
2TMl5EMrdVI.005_0376.jpg,0.26,0.20,0.38,0.82,0.84,0.89,0.50,0.50,0.67,0.45,0.28,0.49,0.52,0.75,0.64,0.81,0.58,0.64
2WuhWF4fAOQ.003_0299.jpg,0.31,0.49,0.35,0.64,0.63,0.69,0.39,0.53,0.40,0.71,0.65,0.82,0.94,0.77,1.00,0.19,0.45,0.39
38fE5B4ghw0.000_0072.jpg,0.61,0.61,0.50,0.16,0.27,0.42,0.43,0.50,0.53,0.99,0.80,0.85,0.76,0.68,0.62,0.94,0.88,0.96
39o1zJFeM7E.003_0631.jpg,0.90,0.95,0.97,0.47,0.40,0.47,0.90,0.84,0.79,0.42,0.36,0.25,0.78,0.73,0.73,0.68,0.64,0.78
3df_Uk9EmwU.000_0483.jpg,0.58,0.60,0.49,0.32,0.37,0.45,0.95,0.95,0.89,0.98,0.83,0.86,0.50,0.67,0.45,0.37,0.62,0.39
3HA2W1s4oP8.000_0484.jpg,0.39,0.45,0.43,0.52,0.63,0.54,0.66,0.87,0.78,0.61,0.82,0.66,0.56,0.41,0.59,0.65,0.77,0.75
3HA2W1s4oP8.002_0600.jpg,0.74,0.72,0.66,0.81,0.64,0.80,0.95,0.86,0.98,0.55,0.31,0.54,1.00,0.76,0.81,0.68,0.88,0.64
3HA2W1s4oP8.003_0082.jpg,0.71,0.77,0.99,0.73,0.80,0.69,0.92,0.99,1.00,0.63,0.68,0.57,0.69,0.87,0.65,0.73,0.72,0.62
3hKgh9AB3tk.005_0402.jpg,0.50,0.64,0.57,0.44,0.59,0.65,0.66,0.60,0.59,0.57,0.48,0.59,1.00,1.00,1.00,0.68,0.78,0.92
3JAFkk42zPs.004_0313.jpg,0.69,0.73,0.77,0.94,1.00,0.80,0.58,0.76,0.59,0.76,0.98,0.84,0.38,0.60,0.35,1.00,0.86,0.89
3K16KyiAZHw.004_0049.jpg,0.82,0.85,0.77,0.81,0.86,0.93,0.30,0.39,0.16,0.92,0.95,0.83,0.76,0.70,0.78,0.27,0.33,0.31
3LAaFUSGvsU.001_0523.jpg,0.78,0.76,0.74,0.59,0.72,0.84,0.51,0.66,0.73,0.39,0.47,0.56,0.52,0.30,0.45,0.66,0.63,0.71
3LAaFUSGvsU.004_0168.jpg,0.42,0.26,0.51,0.78,0.86,0.92,0.85,0.89,0.71,0.32,0.48,0.30,0.62,0.70,0.73,0.33,0.33,0.32
3P_D_bd-_NM.000_0045.jpg,0.63,0.51,0.39,0.92,0.87,0.68,0.52,0.38,0.32,0.97,0.75,0.79,0.74,0.52,0.71,0.81,0.86,0.98
3Q3SB1dVAng.002_0176.jpg,0.28,0.55,0.43,0.44,0.33,0.30,0.39,0.31,0.30,0.60,0.50,0.39,0.44,0.40,0.53,0.56,0.63,0.56
3Sj-GZ3YXWs.000_0681.jpg,0.41,0.39,0.34,1.00,0.81,0.93,0.65,0.51,0.61,0.73,0.82,0.79,0.85,0.62,0.59,0.72,0.78,0.72
3tPq9fNOXZQ.003_0590.jpg,0.47,0.40,0.52,0.79,0.96,0.73,0.99,0.87,0.92,0.54,0.68,0.43,0.32,0.28,0.34,0.38,0.55,0.41
3Vr5-zedeWk.000_0005.jpg,0.91,0.87,0.80,0.52,0.55,0.68,0.55,0.57,0.58,1.00,0.87,0.99,0.88,0.82,0.82,0.73,0.76,0.80
3wgZrRMosvY.003_0517.jpg,0.35,0.36,0.47,0.49,0.38,0.41,0.87,1.00,0.95,0.67,0.75,0.60,0.60,0.58,0.50,0.77,0.92,0.86
